concessionaria;identificador;rodovia;uf;km_m;municipio;tipo_de_pista;latitude;longitude;data_da_passagem;sentido_da_passagem;faixa_da_passagem;velocidade;tipo_de_veiculo;volume_total
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"23/04/2022";"Crescente";1;"51 - 80 KM";"Comercial";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"24/04/2022";"Crescente";1;"51 - 80 KM";"Comercial";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"25/04/2022";"Crescente";1;"81 - 100 K";"Comercial";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"26/04/2022";"Crescente";1;"51 - 80 KM";"Comercial";2
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"30/04/2022";"Crescente";1;"51 - 80 KM";"Comercial";3
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"30/04/2022";"Crescente";1;"81 - 100 K";"Comercial";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"01/05/2022";"Crescente";1;"51 - 80 KM";"Comercial";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"02/05/2022";"Crescente";1;"51 - 80 KM";"Comercial";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"07/05/2022";"Crescente";1;"51 - 80 KM";"Comercial";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"08/05/2022";"Crescente";1;"51 - 80 KM";"Comercial";3
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"08/05/2022";"Crescente";1;"81 - 100 K";"Comercial";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"10/05/2022";"Crescente";1;"51 - 80 KM";"Comercial";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"12/05/2022";"Crescente";1;"51 - 80 KM";"Comercial";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"13/05/2022";"Crescente";1;"51 - 80 KM";"Comercial";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"13/05/2022";"Crescente";1;"51 - 80 KM";"Veículo Pequeno";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"14/05/2022";"Crescente";1;"51 - 80 KM";"Comercial";2
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"14/05/2022";"Crescente";1;"51 - 80 KM";"Passeio";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"16/05/2022";"Crescente";1;"51 - 80 KM";"Comercial";3
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"17/05/2022";"Crescente";1;"51 - 80 KM";"Comercial";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"17/05/2022";"Crescente";1;"51 - 80 KM";"Veículo Pequeno";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"18/05/2022";"Crescente";1;"81 - 100 K";"Comercial";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"19/05/2022";"Crescente";1;"51 - 80 KM";"Veículo Pequeno";1
